Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CAN,Canada,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,450076.58,449053.49,467648.84,477920.11,454491.65,459790.46,467883.53,483233.59,478880.86,477868.77,537402.52,527131.25,521832.44,553478.65,555865.86,562796.49,548704.21,544171.80,544091.13,,,
CHE,Switzerland,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,42966.24,42350.18,43325.61,41022.73,41470.10,39387.25,40025.31,41580.11,41913.81,40700.03,39093.89,42999.24,40769.71,40241.66,40443.34,41374.76,41877.14,38019.46,40392.01,,,
CHI,Channel Islands,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,34902.51,32992.00,34117.77,36288.63,40146.32,43611.63,49526.50,57054.85,58987.36,62225.32,60094.80,54018.58,56072.10,56409.46,62434.34,63805.80,65697.97,70098.37,73108.98,,,
CHN,China,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,2460744.02,2584538.27,2695982.07,2878694.01,3058241.33,3320285.15,3463089.13,3469510.05,3324344.52,3318055.61,3405179.87,3487566.36,3694242.14,4525177.01,5288166.03,5790016.98,6414463.08,6791804.71,7031916.21,,,
CIV,Cote d'Ivoire,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,5797.53,5636.18,4624.09,5892.87,5251.14,7132.32,8379.10,8173.74,6912.30,6266.90,6791.28,7726.37,7286.33,5460.16,7664.03,7825.38,7139.65,6384.25,7014.97,,,
CMR,Cameroon,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,1738.16,1111.10,3795.35,3898.02,3817.35,4363.73,4602.09,3215.96,3208.63,3080.28,3432.31,3421.31,3417.64,3795.35,3956.69,3696.34,4264.72,6167.89,5302.48,,,
COG,"Congo, Rep.",EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,1188.11,1265.12,1573.14,1543.81,2148.86,1565.81,1716.16,2343.21,777.40,821.41,1048.76,861.75,707.73,1085.43,1903.17,1606.15,1463.13,1591.48,1936.18,,,
COK,Cook Islands,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,29.34,29.34,33.00,29.34,33.00,55.01,62.34,66.01,66.01,69.67,,,
COL,Colombia,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,57337.21,57120.86,62049.31,64022.15,67571.81,59610.75,60523.84,64905.90,65976.66,56512.14,57923.93,56273.78,55661.39,57421.55,53772.89,59178.05,61561.60,63439.10,67700.15,,,
