Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CYM,Cayman Islands,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,9.71,10.05,9.71,9.63,9.22,8.83,8.39,8.09,7.79,7.38,11.31,10.70,10.40,10.05,9.85,9.89,9.97,9.86,10.08,,,
CYP,Cyprus,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,6.07,6.05,6.59,6.92,6.94,6.68,6.80,6.86,7.31,7.30,7.26,7.12,7.17,7.76,7.22,7.27,7.43,7.71,7.94,,,
CZE,Czech Republic,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,,,13.52,12.77,12.35,12.53,12.85,12.63,12.19,10.89,12.13,12.17,11.78,11.99,12.01,11.80,11.96,11.99,11.22,,,
DEU,Germany,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,0.00,12.01,11.51,11.23,11.09,11.04,11.28,10.97,10.91,10.04,10.12,10.39,10.07,10.12,10.04,9.82,9.86,9.57,9.58,,,
DJI,Djibouti,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,0.71,0.69,0.70,0.71,0.70,0.68,0.68,0.66,0.60,0.62,0.55,0.51,0.52,0.52,0.58,0.59,0.59,0.58,0.61,,,
DMA,Dominica,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,0.83,0.83,0.83,0.88,0.98,1.13,1.03,1.14,1.09,1.15,1.47,1.64,1.48,1.64,1.59,1.65,1.60,2.20,1.88,,,
DNK,Denmark,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,9.81,11.92,10.55,11.05,11.76,10.58,13.06,10.80,10.58,9.58,8.85,9.16,9.66,10.39,9.35,8.65,10.01,9.10,8.38,,,
DOM,Dominican Republic,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,1.33,1.38,1.50,1.56,1.63,2.03,2.18,2.23,2.24,2.23,2.34,2.32,2.43,2.39,2.19,2.13,2.21,2.24,2.24,,,
DZA,Algeria,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,3.12,3.14,3.10,3.04,3.11,3.35,3.35,3.02,3.61,3.06,2.88,2.72,2.89,2.90,2.76,3.26,3.21,3.33,3.23,,,
EAP,East Asia & Pacific,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,1.93,2.02,2.09,2.21,2.30,2.46,2.55,2.54,2.28,2.27,2.33,2.39,2.50,2.96,3.38,3.64,3.93,4.13,4.27,,,
ECA,Europe & Central Asia,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,,,9.83,8.94,7.80,7.56,7.37,6.90,6.70,6.67,6.77,6.77,6.79,7.06,7.14,7.20,7.47,7.62,7.74,,,
ECU,Ecuador,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,1.64,1.57,2.08,2.21,1.22,2.00,2.06,1.55,1.86,1.75,1.70,1.87,1.93,2.04,2.17,2.18,2.19,2.23,1.91,,,
EGY,"Egypt, Arab Rep.",EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,1.34,1.36,1.38,1.55,1.40,1.54,1.62,1.69,1.87,1.89,2.09,1.82,1.81,2.22,2.20,2.35,2.48,2.59,2.69,,,
EMU,Euro area,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,5.41,8.88,8.64,8.38,8.33,8.52,8.68,8.52,8.66,8.25,8.29,8.46,8.40,8.54,8.54,8.44,8.34,8.19,7.99,,,
ERI,Eritrea,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,,,,,0.06,0.09,0.11,0.16,0.17,0.18,0.17,0.17,0.15,0.18,0.18,0.17,0.12,0.12,0.08,,,
ESP,Spain,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,5.86,6.04,6.27,5.79,6.23,6.53,6.44,6.68,6.92,7.07,7.31,7.31,7.61,7.64,7.95,8.14,7.93,7.98,7.23,,,
EST,Estonia,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,,,15.02,12.47,12.76,11.66,13.28,13.30,12.37,11.25,11.36,11.72,11.39,12.97,13.22,12.97,12.61,14.87,13.64,,,
ETH,Ethiopia,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,0.06,0.06,0.06,0.10,0.05,0.04,0.06,0.07,0.08,0.08,0.09,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.09,,,
FIN,Finland,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,10.22,10.95,9.74,10.25,11.67,10.24,11.98,11.69,11.06,10.73,10.07,10.88,11.74,13.21,12.81,10.41,12.55,12.09,10.64,,,
FJI,Fiji,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,1.12,0.92,0.99,1.02,1.08,1.14,1.17,0.96,0.91,1.03,1.06,1.38,1.05,2.03,2.31,1.99,1.89,1.75,1.49,,,
FRA,France,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,6.86,7.32,6.76,6.60,6.24,6.62,6.84,6.33,6.80,6.15,6.02,6.30,6.17,6.24,6.23,6.22,6.03,5.86,5.87,,,
FRO,Faeroe Islands,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,13.11,12.64,14.33,13.30,11.83,14.59,15.03,15.00,14.96,14.89,14.35,14.24,14.22,14.21,14.08,14.13,14.22,14.34,14.56,,,
FSM,"Micronesia, Fed. Sts.",EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,,,,,,,,,,0.51,0.51,0.51,0.51,0.51,0.50,0.50,0.50,0.57,0.56,,,
GAB,Gabon,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,5.21,1.54,2.15,3.21,3.17,3.55,3.16,3.09,1.39,1.19,0.85,1.41,1.38,1.01,1.10,1.30,1.28,1.39,1.70,,,
GBR,United Kingdom,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,9.96,10.34,10.20,9.83,9.74,9.73,9.98,9.50,9.47,9.13,9.23,9.31,8.97,9.08,9.12,9.01,8.97,8.68,8.52,,,
GEO,Georgia,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,,,3.15,2.03,1.25,0.49,0.88,0.98,1.11,0.98,1.03,0.86,0.78,0.87,0.91,1.09,1.25,1.37,1.19,,,
GHA,Ghana,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,0.27,0.27,0.26,0.29,0.31,0.32,0.33,0.36,0.35,0.35,0.33,0.35,0.37,0.37,0.34,0.32,0.42,0.42,0.37,,,
GIB,Gibraltar,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,3.55,3.95,3.39,12.29,14.68,12.77,7.12,4.44,11.46,11.86,12.20,12.48,12.32,12.52,12.74,12.99,13.42,13.89,14.40,,,
GIN,Guinea,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,0.18,0.18,0.17,0.16,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,,,
GMB,"Gambia, The",EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,0.20,0.20,0.19,0.20,0.19,0.19,0.19,0.18,0.19,0.20,0.21,0.21,0.23,0.22,0.22,0.21,0.22,0.25,0.25,,,
GNB,Guinea-Bissau,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.26,0.18,0.20,0.16,0.16,0.16,0.19,0.19,0.19,0.20,0.20,0.19,,,
GNQ,Equatorial Guinea,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,0.32,0.52,0.54,0.25,0.09,0.30,0.26,0.62,0.35,0.94,0.87,5.76,8.98,10.52,7.93,7.75,7.59,7.45,7.27,,,
GRC,Greece,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,7.16,6.59,7.28,7.23,7.43,7.45,7.51,7.85,8.10,7.96,8.39,8.57,8.53,8.68,8.78,8.89,8.73,8.77,8.70,,,
GRD,Grenada,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,1.26,1.26,1.32,1.46,1.66,1.72,1.75,2.03,1.88,2.03,2.02,2.16,2.12,2.22,2.11,2.28,2.38,2.38,2.37,,,
GRL,Greenland,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,10.02,9.91,8.75,9.10,9.12,9.07,9.25,9.36,9.48,9.67,9.46,9.57,9.52,9.43,8.76,11.08,10.21,11.28,10.22,,,
GTM,Guatemala,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,0.57,0.55,0.64,0.59,0.70,0.72,0.65,0.72,0.82,0.81,0.88,0.92,0.95,0.88,0.90,0.96,0.94,0.97,0.87,,,
GUM,Guam,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,,,,,,,,,,,,,,,,,,,,,,
