"fill","Country.code","Country.name","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","region2"
"二氧化碳排放总量","DEU","Germany",55.01,960992.36,928326.72,911425.52,903622.14,901524.62,924014.33,900318.17,895532.74,824466.28,832100.97,855756.79,830909.2,835657.96,828521.98,809596.59,811881.13,787235.23,786659.51,"欧洲和中亚"
"二氧化碳排放总量","DJI","Djibouti",399.7,399.7,414.37,429.04,429.04,429.04,436.37,440.04,410.7,443.71,403.37,385.04,399.7,407.04,458.38,473.04,487.71,487.71,524.38,"中东和北非"
"二氧化碳排放总量","DMA","Dominica",58.67,58.67,58.67,62.34,69.67,80.67,73.34,80.67,77.01,80.67,102.68,113.68,102.68,113.68,110.01,113.68,110.01,150.35,128.35,"拉丁美洲和加勒比海地区"
"二氧化碳排放总量","DNK","Denmark",50421.25,61433.25,54528.29,57337.21,61194.9,55298.36,68704.91,57065.85,56068.43,50930.96,47252.96,49035.12,51899.05,55947.42,50476.26,46867.93,54418.28,49695.18,46024.52,"欧洲和中亚"
"二氧化碳排放总量","DOM","Dominican Republic",9570.87,10135.59,11206.35,11939.75,12676.82,16105.46,17546.6,18239.66,18683.37,18870.38,20117.16,20234.51,21499.62,21521.62,19999.82,19761.46,20813.89,21363.94,21616.97,"拉丁美洲和加勒比海地区"
"二氧化碳排放总量","DZA","Algeria",78895.51,81458.74,82261.81,82474.5,86350.52,94692.94,96566.78,88195.02,107080.07,92118.71,87930.99,84293.33,90853.59,92533.08,89493.14,107127.74,107303.75,112741.92,111304.45,"中东和北非"
"二氧化碳排放总量","ECU","Ecuador",16835.2,16486.83,22302.69,24187.53,13637.57,22812.41,23890.51,18276.33,22229.35,21272.27,20942.24,23446.8,24689.91,26523.41,28657.61,29299.33,29842.05,30898.14,26824.11,"拉丁美洲和加勒比海地区"
"二氧化碳排放总量","EGY","Egypt, Arab Rep.",75943.57,78715.82,81264.39,93156.47,85312.76,95723.37,102030.61,108202.17,122243.11,125393.07,141326.18,125451.74,127193.56,158880.11,160581.6,174640.88,187504.71,199220.78,210320.79,"中东和北非"
"二氧化碳排放总量","ERI","Eritrea",NA,NA,NA,NA,183.35,297.03,348.37,528.05,590.39,619.72,608.72,630.72,605.06,726.07,770.07,766.4,561.05,579.39,414.37,"撒哈拉以南非洲"
"二氧化碳排放总量","ESP","Spain",227592.36,235080.37,245098.61,226954.3,244658.57,257229.05,254328.45,264460.37,274683.97,282384.67,294441.77,297833.74,314525.92,321097.19,339428.52,353462.13,350037.15,358236.56,329285.6,"欧洲和中亚"
"二氧化碳排放总量","EST","Estonia",NA,NA,23028.76,18628.36,18661.36,16754.52,18808.04,18613.69,17143.23,15474.74,15559.08,15984.45,15471.07,17553.93,17839.96,17462.25,16945.21,19952.15,18291,"欧洲和中亚"
"二氧化碳排放总量","ETH","Ethiopia",3017.94,2984.94,2966.6,5163.14,3003.27,2152.53,3729.34,4275.72,5027.46,5075.13,5830.53,4308.73,4481.07,4946.78,5196.14,5489.5,5995.55,6560.26,7106.65,"撒哈拉以南非洲"
