"Country.code","Country.name","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","region2"
"SLB","Solomon Islands",161.35,161.35,161.35,157.68,154.01,161.35,161.35,161.35,161.35,165.02,165.02,172.35,172.35,179.68,179.68,179.68,179.68,198.02,198.02,"东亚和太平洋"
"SLE","Sierra Leone",388.7,469.38,473.04,506.05,583.05,586.72,623.39,634.39,594.05,583.05,630.72,858.08,1191.78,1224.78,1067.1,1261.45,1239.45,1312.79,1334.79,"撒哈拉以南非洲"
"SLV","El Salvador",2618.24,3230.63,3428.65,3890.69,4429.74,5280.48,4895.45,5760.86,5812.2,5698.52,5742.52,5947.87,6039.55,6552.93,6277.9,6362.25,6486.92,6901.29,6112.89,"拉美和加勒比海"
"SMR","San Marino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"欧洲和中亚"
"SOM","Somalia",18.34,3.67,11,11,11,11,NA,NA,NA,NA,517.05,502.38,572.05,575.72,575.72,579.39,575.72,630.72,649.06,"撒哈拉以南非洲"
"SRB","Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46567.23,48958.12,48811.44,49933.54,"欧洲和中亚"
"STP","Sao Tome and Principe",66.01,69.67,73.34,73.34,73.34,77.01,77.01,77.01,80.67,88.01,88.01,91.68,106.34,110.01,113.68,128.35,128.35,128.35,128.35,"撒哈拉以南非洲"
"SUR","Suriname",1811.5,2101.19,2112.19,2156.2,2163.53,2181.87,2130.53,2141.53,2163.53,2152.53,2126.86,2266.21,2251.54,2240.54,2284.54,2379.88,2438.56,2438.56,2438.56,"拉美和加勒比海"
"SVK","Slovak Republic",NA,NA,45646.82,40971.39,40351.67,43508.96,42793.89,41983.48,43230.26,39863.96,36530.65,39357.91,39251.57,39493.59,38749.19,39174.56,38928.87,36592.99,37557.41,"欧洲和中亚"
"SVN","Slovenia",NA,NA,12970.18,13116.86,11257.69,14513.99,15185.05,16208.14,15522.41,15144.71,14601.99,15148.38,15401.4,15485.74,15716.76,15870.78,16230.14,16193.47,17157.89,"欧洲和中亚"
"SWE","Sweden",51708.37,55401.04,57131.86,53149.5,56435.13,53560.2,60549.5,54513.62,54953.66,51106.98,49794.19,51128.98,57425.22,54781.31,54506.29,51550.69,49559.51,48045.03,49049.79,"欧洲和中亚"
"SWZ","Swaziland",425.37,326.36,264.02,132.01,484.04,454.71,341.03,1202.78,1213.78,1239.45,1188.11,1144.1,1125.77,1041.43,1030.43,1019.43,1015.76,1063.43,1092.77,"撒哈拉以南非洲"
"SXM","Sint Maarten (Dutch part)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"拉美和加勒比海"
"SYC","Seychelles",113.68,143.01,165.02,161.35,187.02,190.68,198.02,414.37,440.04,513.38,564.72,641.73,542.72,557.38,773.74,696.73,744.4,623.39,682.06,"撒哈拉以南非洲"
"SYR","Syrian Arab Republic",37451.07,43193.59,44436.71,47117.28,48532.75,51558.02,51022.64,52295.09,62709.37,64913.23,63589.45,60908.87,55987.76,70091.04,67520.47,64396.19,68220.87,70897.78,71598.18,"中东和北非"
"TCA","Turks and Caicos Islands",NA,NA,NA,NA,NA,11,11,11,14.67,14.67,14.67,14.67,99.01,102.68,102.68,121.01,143.01,157.68,157.68,"拉美和加勒比海"
"TCD","Chad",146.68,69.67,88.01,99.01,102.68,102.68,106.34,113.68,113.68,121.01,176.02,172.35,168.68,381.37,377.7,399.7,407.04,462.04,495.05,"撒哈拉以南非洲"
"TGO","Togo",773.74,843.41,836.08,865.41,832.41,953.42,1059.76,986.42,1166.11,1536.47,1356.79,1162.44,1232.11,1463.13,1397.13,1338.46,1221.11,1316.45,1419.13,"撒哈拉以南非洲"
"THA","Thailand",95833.38,116148.56,126830.53,142554.63,158278.72,181461.5,202711.76,210064.1,186503.62,196947.24,201549.32,217086.4,230635.97,245674.33,267760.67,275164.35,283987.15,282091.31,285732.64,"东亚和太平洋"
"TJK","Tajikistan",NA,NA,7220.32,5170.47,2354.21,2449.56,2827.26,2152.53,2497.23,2519.23,2236.87,2291.88,1881.17,2075.52,2233.2,2291.88,2420.22,3245.3,3146.29,"欧洲和中亚"
"TKM","Turkmenistan",NA,NA,28067.22,27663.85,33476.04,34620.15,31363.85,29930.05,26046.7,35115.19,35646.91,39680.61,41074.07,43160.59,39640.27,41759.8,43871.99,45866.84,47839.68,"欧洲和中亚"
"TMP","Timor-Leste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.35,161.35,176.02,176.02,179.68,183.35,190.68,"东亚和太平洋"
"TON","Tonga",77.01,91.68,88.01,102.68,106.34,110.01,110.01,113.68,110.01,128.35,121.01,139.35,143.01,176.02,172.35,172.35,172.35,176.02,176.02,"东亚和太平洋"
"TTO","Trinidad and Tobago",16959.88,21048.58,20986.24,16820.53,19853.14,20967.91,21781.98,19229.75,19317.76,22816.07,24513.9,25023.61,26890.11,27696.85,31554.54,30949.48,34480.8,37036.7,49772.19,"拉美和加勒比海"
"TUN","Tunisia",13267.21,15489.41,15023.7,16501.5,15940.45,15735.1,16758.19,16945.21,18001.3,18331.33,19922.81,20817.56,21015.58,21396.95,22445.71,22801.41,23127.77,23868.5,25012.61,"中东和北非"
"TUR","Turkey",150790.71,151799.13,154494.38,164259.6,161659.7,176705.4,192499.17,202887.78,205421.67,196767.55,216147.65,194538.02,205678.36,218509.2,225406.82,237368.58,261570.78,284658.21,283979.81,"欧洲和中亚"
"TUV","Tuvalu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"东亚和太平洋"
"TZA","Tanzania",2372.55,2434.89,2361.55,2636.57,2445.89,3553.32,3461.65,2882.26,2555.9,2537.56,2651.24,3127.95,3589.99,3806.35,4352.73,5086.13,5379.49,6039.55,6464.92,"撒哈拉以南非洲"
"UGA","Uganda",817.74,850.74,861.75,821.41,744.4,957.09,1052.43,1133.1,1338.46,1393.46,1532.81,1631.82,1705.16,1719.82,1833.5,2339.55,2706.25,3204.96,3747.67,"撒哈拉以南非洲"
"UKR","Ukraine",NA,NA,641681,546111.64,447010.97,445943.87,412335.82,341196.02,328636.54,332549.23,320774.49,321650.91,318684.3,352259.35,343121.19,339028.82,327796.8,328856.56,323532.08,"欧洲和中亚"
"URY","Uruguay",3993.36,4554.41,5170.47,4466.41,4066.7,4591.08,5441.83,5555.51,5687.52,6725.28,5306.15,5089.8,4620.42,4598.42,5610.51,5775.53,6648.27,5999.21,8327.76,"拉美和加勒比海"
"USA","United States",4879376.21,4870238.04,4876006.23,5167485.06,5227176.49,5237968.47,5343512.06,5501365.41,5449077.66,5528149.18,5512399.42,5389928.95,5437816.3,5471754.39,5563799.75,5595357.96,5514775.63,5581537.03,5461013.74,"北美"
"UZB","Uzbekistan",NA,NA,114014.36,118532.11,110981.76,100912.17,103189.38,101781.25,117571.35,117421.01,119951.24,122037.76,126914.87,122683.15,119272.84,109599.3,115345.49,115840.53,124905.35,"欧洲和中亚"
"VCT","St. Vincent and the Grenadines",80.67,77.01,84.34,102.68,121.01,132.01,135.68,135.68,165.02,168.68,157.68,179.68,187.02,194.35,194.35,198.02,201.69,201.69,201.69,"拉美和加勒比海"
"VEN","Venezuela, RB",122162.44,115440.83,105873.62,124355.3,129947.48,133236.78,122752.83,133962.84,167321.54,172616.69,152415.19,172525.02,193261.9,192103.13,168278.63,159584.17,153595.96,163555.53,169532.74,"拉美和加勒比海"
"VIR","Virgin Islands (U.S.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"拉美和加勒比海"
"VNM","Vietnam",21407.95,21451.95,22387.04,22970.09,26303.39,29247.99,34378.13,45283.78,47781.01,48026.7,53582.2,61631.27,71348.82,79438.22,101678.58,104084.13,83735.95,112290.87,127384.25,"东亚和太平洋"
"VUT","Vanuatu",69.67,66.01,66.01,66.01,66.01,66.01,84.34,88.01,84.34,84.34,80.67,84.34,84.34,88.01,88.01,55.01,47.67,80.67,91.68,"东亚和太平洋"
"WBG","West Bank and Gaza",NA,NA,NA,NA,NA,NA,NA,414.37,608.72,660.06,799.41,1353.12,1166.11,1279.78,1866.5,2742.92,2266.21,2324.88,2053.52,"中东和北非"
"WSM","Samoa",124.68,124.68,128.35,128.35,121.01,132.01,132.01,132.01,132.01,139.35,139.35,143.01,143.01,150.35,154.01,157.68,157.68,161.35,161.35,"东亚和太平洋"
"YEM","Yemen, Rep.",-2999.61,10109.92,14381.97,9431.52,11367.7,11250.36,14935.69,15474.74,12200.11,13894.26,14638.66,16252.14,15764.43,17304.57,18881.38,20043.82,20791.89,21976.33,23384.46,"中东和北非"
"ZAF","South Africa",333513.65,346337.15,324852.2,342549.14,358929.63,353458.46,358639.93,371327.75,372218.84,371034.39,368610.51,362743.31,347686.61,380810.62,414165.65,408199.44,405709.55,433358.73,435877.96,"撒哈拉以南非洲"
"ZAR","Congo, Dem. Rep.",4070.37,3755.01,3619.33,3410.31,2478.89,2966.6,3248.96,2926.27,2533.9,2247.87,1646.48,1565.81,1543.81,1697.82,2280.87,2368.88,2460.56,2552.23,2816.26,"撒哈拉以南非洲"
"ZMB","Zambia",2445.89,2416.55,2456.89,2500.89,2420.22,2170.86,1870.17,2390.88,2313.88,1807.83,1818.83,1906.84,1969.18,2101.19,2108.53,2258.87,2284.54,1719.82,1888.51,"撒哈拉以南非洲"
"ZWE","Zimbabwe",15504.08,15823.11,16901.2,16208.14,17645.6,15130.04,14994.36,14407.64,14253.63,15834.11,13886.93,12563.14,11932.42,10626.97,9926.57,10773.65,10344.61,9618.54,9075.83,"撒哈拉以南非洲"
